REF_DATE,GEO,DGUID,North American Industry Classification System (NAICS),Adjustments,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Sep-19,Nova Scotia,2016A000212,Motor vehicle and parts dealers [441],Unadjusted,Dollars,81,thousands,3,v52367465,4.2.1,371452,A,,,0
Sep-19,Nova Scotia,2016A000212,Automobile dealers [4411],Unadjusted,Dollars,81,thousands,3,v52367476,4.3.1,320773,A,,,0
Sep-19,Nova Scotia,2016A000212,New car dealers [44111],Unadjusted,Dollars,81,thousands,3,v52367477,4.4.1,290712,A,,,0
Sep-19,Nova Scotia,2016A000212,Used car dealers [44112],Unadjusted,Dollars,81,thousands,3,v52367478,4.5.1,30061,C,,,0
Sep-19,Nova Scotia,2016A000212,Other motor vehicle dealers [4412],Unadjusted,Dollars,81,thousands,3,v52367479,4.6.1,26750,C,,,0
Sep-19,Nova Scotia,2016A000212,"Automotive parts, accessories and tire stores [4413]",Unadjusted,Dollars,81,thousands,3,v52367480,4.7.1,23929,A,,,0
Sep-19,Nova Scotia,2016A000212,Furniture and home furnishings stores [442],Unadjusted,Dollars,81,thousands,3,v52367481,4.8.1,35454,B,,,0
Sep-19,Nova Scotia,2016A000212,Furniture stores [4421],Unadjusted,Dollars,81,thousands,3,v52367482,4.9.1,24127,B,,,0
Sep-19,Nova Scotia,2016A000212,Home furnishings stores [4422],Unadjusted,Dollars,81,thousands,3,v52367455,4.10.1,11327,B,,,0
Sep-19,Nova Scotia,2016A000212,Electronics and appliance stores [443],Unadjusted,Dollars,81,thousands,3,v52367456,4.11.1,14337,A,,,0
Sep-19,Nova Scotia,2016A000212,Building material and garden equipment and supplies dealers [444],Unadjusted,Dollars,81,thousands,3,v52367457,4.12.1,109237,A,,,0
Sep-19,Nova Scotia,2016A000212,Food and beverage stores [445],Unadjusted,Dollars,81,thousands,3,v52367458,4.13.1,292933,A,,,0
